episode,timesteps,reward,num_actions,actions_plus_1
399,6972,12.736314,5,"[65, 14, 73, 30, 13]"
400,6992,12.871086,5,"[21, 15, 64, 75, 20]"
401,7000,9.69966,2,"[61, 56]"
402,7016,4.757014,4,"[62, 75, 51, 7]"
403,7036,1.90048,5,"[62, 2, 18, 29, 6]"
404,7052,8.735625,4,"[32, 16, 65, 69]"
405,7076,1.595872,6,"[39, 61, 32, 18, 19, 13]"
406,7088,11.559126,3,"[66, 61, 3]"
407,7104,2.779836,4,"[59, 3, 37, 5]"
408,7120,11.119859,4,"[75, 16, 73, 18]"
409,7144,25.056612,6,"[54, 2, 14, 17, 76, 6]"
410,7164,15.91999,5,"[64, 12, 56, 61, 2]"
411,7180,19.014552,4,"[60, 74, 72, 2]"
412,7196,12.168287,4,"[26, 67, 67, 9]"
413,7220,-4.373596,6,"[1, 54, 47, 31, 35, 14]"
414,7232,0.388767,3,"[54, 47, 3]"
415,7256,9.565109,6,"[34, 5, 75, 2, 55, 24]"
416,7268,3.583528,3,"[61, 36, 7]"
417,7292,2.978799,6,"[73, 14, 8, 2, 9, 24]"
418,7308,0.854809,4,"[61, 33, 47, 2]"
419,7332,15.279924,6,"[67, 16, 77, 12, 24, 12]"
420,7344,9.371016,3,"[74, 67, 2]"
421,7360,14.335481,4,"[64, 31, 64, 10]"
422,7380,4.4226,5,"[14, 4, 77, 20, 15]"
423,7392,3.668485,3,"[65, 45, 7]"
424,7400,9.688555,2,"[72, 71]"
425,7412,10.954831,3,"[67, 65, 11]"
426,7428,11.358113,4,"[61, 30, 73, 5]"
427,7452,12.583547,6,"[65, 4, 22, 76, 8, 20]"
428,7468,17.554121,4,"[33, 76, 43, 4]"
429,7488,8.941354,5,"[65, 71, 18, 25, 3]"
430,7500,14.744796,3,"[77, 48, 57]"
431,7512,12.099992,3,"[59, 36, 61]"
432,7536,12.637694,6,"[68, 16, 67, 2, 24, 18]"
433,7552,15.922515,4,"[67, 22, 71, 9]"
434,7572,15.506718,5,"[66, 16, 77, 27, 9]"
435,7584,4.909168,3,"[47, 62, 21]"
436,7596,4.038314,3,"[49, 58, 10]"
437,7604,3.017317,2,"[63, 41]"
438,7616,8.845213,3,"[57, 58, 2]"
439,7632,7.161717,4,"[63, 63, 24, 19]"
440,7648,7.769404,4,"[58, 65, 11, 22]"
441,7668,14.558582,5,"[65, 23, 67, 13, 14]"
442,7680,9.892672,3,"[63, 65, 2]"
443,7688,8.390822,2,"[33, 71]"
444,7700,7.951679,3,"[74, 72, 49]"
445,7720,2.608996,5,"[2, 4, 64, 20, 14]"
446,7732,9.32458,3,"[58, 69, 3]"
447,7756,6.626907,6,"[56, 71, 6, 8, 18, 10]"
448,7780,11.67424,6,"[64, 23, 11, 67, 22, 8]"
449,7792,2.837028,3,"[59, 36, 9]"
450,7808,7.394815,4,"[56, 25, 58, 4]"
451,7828,4.557936,5,"[54, 13, 54, 24, 24]"
452,7848,12.278366,5,"[72, 17, 66, 22, 5]"
453,7872,12.465433,6,"[76, 16, 67, 13, 18, 18]"
454,7884,9.790854,3,"[63, 16, 64]"
455,7900,1.000291,4,"[10, 74, 24, 9]"
456,7916,4.286996,4,"[26, 72, 29, 16]"
457,7932,8.316421,4,"[61, 34, 58, 3]"
458,7960,10.913906,7,"[12, 60, 11, 76, 8, 22, 19]"
459,7976,14.243968,4,"[63, 17, 77, 25]"
460,7988,1.301079,3,"[71, 45, 1]"
461,8000,5.2857,3,"[45, 63, 22]"
462,8012,11.352879,3,"[65, 61, 4]"
463,8036,25.839742,6,"[58, 4, 27, 76, 20, 10]"
464,8052,11.375643,4,"[67, 6, 64, 6]"
465,8068,8.184249,4,"[57, 23, 57, 6]"
466,8080,9.15825,3,"[58, 66, 6]"
467,8096,13.348769,4,"[64, 17, 70, 18]"
468,8108,9.970339,3,"[61, 64, 5]"
469,8120,8.908623,3,"[58, 57, 2]"
470,8144,0.111413,6,"[56, 17, 1, 15, 29, 12]"
471,8160,10.957153,4,"[67, 10, 67, 12]"
472,8172,0.388767,3,"[54, 47, 3]"
473,8188,10.259943,4,"[64, 10, 67, 15]"
474,8204,3.321315,4,"[76, 15, 17, 22]"
475,8216,10.360054,3,"[62, 58, 10]"
476,8236,28.206223,5,"[66, 22, 76, 21, 10]"
477,8256,16.131552,5,"[64, 11, 63, 55, 2]"
478,8276,13.727574,5,"[53, 62, 4, 74, 2]"
479,8296,1.611053,5,"[63, 27, 26, 21, 6]"
480,8320,14.969293,6,"[68, 4, 15, 74, 24, 23]"
481,8340,4.883293,5,"[26, 18, 59, 20, 20]"
482,8352,17.073023,3,"[65, 15, 76]"
483,8368,9.158943,4,"[63, 16, 61, 3]"
484,8384,14.133915,4,"[33, 73, 72, 4]"
485,8396,11.324857,3,"[65, 60, 18]"
486,8408,8.420997,3,"[57, 55, 18]"
487,8424,2.801968,4,"[73, 12, 12, 20]"
488,8444,25.633962,5,"[78, 14, 77, 31, 8]"
489,8456,9.653794,3,"[55, 73, 2]"
490,8484,1.023837,7,"[67, 27, 38, 18, 8, 27, 10]"
491,8492,11.485134,2,"[64, 66]"
492,8508,9.628619,4,"[2, 58, 59, 11]"
493,8520,9.15825,3,"[58, 66, 6]"
494,8540,14.805628,5,"[65, 17, 76, 35, 15]"
495,8552,11.59624,3,"[67, 58, 5]"
